# ref_id x y z occupancy n_extra
128039 -73.11861401 3.57441628 -5.33527567 2 1
128478 -73.33494993 -1.84711366 -3.42538013 3 2
128479 -73.26817828 -3.52926593 -1.64511166 2 1
128553 -78.60639823 0.03553615 -3.57047464 2 1
128555 -76.77493282 -0.15705439 -1.73553881 2 1
128556 -78.63957899 1.78558631 -1.69346455 2 1
128557 -74.98854949 0.01674898 -3.59065043 3 2
128559 -73.19567414 0.02514713 -1.63299725 2 1
128637 -75.04745751 3.62090548 -3.60987894 2 1
128639 -73.26298256 3.52239823 -1.80189627 2 1
128640 -75.09722656 5.36273122 -1.71751568 2 1
128720 -74.94159366 8.86036210 -1.69961309 2 1
128999 -73.22017678 -7.17057533 1.75162349 2 1
129074 -76.85120044 -1.71244378 0.04215472 2 1
129075 -76.78169818 -3.61519480 1.85195712 2 1
129077 -75.00424255 -3.60383985 -0.03264339 3 2
129080 -75.03438053 -1.74237352 1.80382193 2 1
129150 -80.43653596 1.85516458 -0.00578861 2 1
129158 -73.32940233 1.84064116 0.10417979 2 1
129231 -80.40955905 3.57369740 1.73916328 2 1
129234 -76.78979511 5.30156515 -0.01015250 2 1
129237 -75.06665972 3.55659437 0.01054696 2 1
129238 -73.23624242 5.31853469 0.04547664 3 2
129240 -75.10995455 5.36886993 1.95011870 2 1
129313 -78.58900368 7.10575649 0.07656584 2 1
129315 -76.80397490 7.11552177 1.94147578 2 1
129319 -73.21513879 7.15097310 1.81644902 2 1
129518 -73.19411889 -8.85178878 3.72162350 2 1
129520 -75.07734899 -8.92025783 5.37720911 2 1
129594 -76.73147678 -5.30015147 3.65266592 2 1
129597 -74.93592655 -7.08861870 3.69494402 2 1
129674 -76.77157139 -1.74753090 3.64798812 2 1
129679 -73.10999019 -3.55044506 5.42124780 3 2
129758 -73.30626181 1.79913838 3.61303729 2 1
129759 -73.07414870 0.00805119 5.46172181 2 1
129760 -74.89935412 1.76598352 5.34771292 3 2
129835 -76.81957146 3.57897483 5.43326321 2 1
129840 -75.03793222 5.44552312 5.42524906 3 2
129914 -76.73941739 8.98717087 3.71637700 3 2
129915 -76.73894050 7.11966766 5.49037456 2 1
129916 -78.55071460 8.76151462 5.33999784 2 1
