# id type x y z dist_to_ref defect_prob defect_type
119 1 4.94434000 -34.14580000 3.68715000 0.46275884 0.99794715 Unknown
120 1 -23.46220000 -24.01870000 -13.39750000 0.06094940 0.10179197 Lattice
121 1 21.94020000 -14.60560000 -13.91020000 0.11677234 0.32568356 Lattice
122 1 26.22610000 14.76100000 4.68369000 0.10553204 0.27518925 Lattice
123 1 -16.18430000 12.85160000 -24.38400000 0.11646321 0.32427709 Lattice
124 1 25.20370000 0.35186900 -20.68740000 0.09089229 0.21238324 Lattice
125 1 28.03250000 -5.59233000 18.86660000 0.12340020 0.35600059 Lattice
126 1 33.36120000 -2.31058000 4.54516000 0.11126429 0.30075770 Lattice
127 1 -6.34125000 -1.87498000 31.96240000 0.12128436 0.34629317 Lattice
128 1 28.08210000 -13.49250000 -1.14908000 0.11222213 0.30506998 Lattice
129 1 19.93290000 0.37459900 24.65770000 0.11634540 0.32374127 Lattice
130 1 9.06087000 33.41970000 -8.22519000 0.08536764 0.18990427 Lattice
131 1 22.66100000 -20.14580000 -7.55776000 0.10169462 0.25833975 Lattice
132 1 15.73030000 -30.64420000 5.53069000 0.83859748 1.00000000 Unknown
133 1 -0.56542500 -32.45330000 -10.77380000 0.94026165 1.00000000 Unknown
134 1 20.11000000 -7.16211000 -21.42200000 0.11026142 0.29625400 Lattice
135 1 26.73210000 -6.88129000 -2.94818000 0.10621216 0.27819949 Lattice
136 1 23.98680000 -14.98240000 19.27340000 0.11758571 0.32938793 Lattice
137 1 4.68932000 -28.64080000 -16.36030000 0.74754949 0.99999990 Unknown
138 1 26.57100000 18.41750000 -0.59806500 0.11192285 0.30372151 Lattice
139 1 11.58050000 -14.49960000 -25.50740000 1.22558353 1.00000000 Unknown
140 1 30.24970000 -0.46392800 -13.88300000 0.11254583 0.30652961 Lattice
141 1 -1.38717000 -5.49144000 -31.01430000 0.11721456 0.32769693 Lattice
142 1 18.88040000 -21.70470000 -10.40930000 0.26487893 0.86834291 Unknown
143 1 27.32720000 -3.73780000 -5.44258000 0.11764554 0.32966061 Lattice
144 1 25.24010000 -16.73970000 7.29487000 0.08757007 0.19877210 Lattice
145 1 27.77860000 -8.83215000 -1.86340000 0.11596574 0.32201540 Lattice
146 1 9.53472000 24.27050000 -20.07730000 0.11092232 0.29922065 Lattice
147 1 27.30660000 0.52642700 -3.33409000 0.11670589 0.32538114 Lattice
148 1 28.26090000 6.40132000 17.78070000 0.11290700 0.30815949 Lattice
149 1 27.90960000 3.67241000 -5.82968000 0.11785598 0.33061996 Lattice
150 1 23.60000000 -5.09899000 -21.32120000 0.11687072 0.32613131 Lattice
151 1 25.88280000 -0.95345600 -12.17370000 0.11598620 0.32210839 Lattice
152 1 15.62000000 29.47320000 -5.14799000 0.12123650 0.34607386 Lattice
153 1 14.02120000 11.92530000 -28.08450000 0.10595097 0.27704266 Lattice
154 1 12.58220000 -26.64510000 -15.11200000 0.45963584 0.99776894 Unknown
155 1 -11.84650000 -20.14700000 -22.44700000 0.12122503 0.34602132 Lattice
156 1 25.80730000 15.62250000 -0.92884500 0.11585762 0.32152412 Lattice
157 1 3.51530000 -32.58790000 11.98110000 0.36736195 0.97975835 Unknown
158 1 13.37670000 -8.57195000 28.05790000 0.12256419 0.35216233 Lattice
159 1 -21.87700000 27.09280000 -4.57660000 0.10496021 0.27266371 Lattice
160 1 32.09480000 0.23653100 -12.40530000 0.12383454 0.35799603 Lattice
161 1 3.79110000 -28.49590000 7.17144000 0.39680347 0.98943470 Unknown
