# id type pc1 pc2 pc3 dist_to_ref defect_type
256 1 -0.10321248 -0.03828395 0.01265853 0.11129117 Lattice
257 1 -0.10385257 -0.03474804 -0.00184455 0.11242891 Lattice
258 1 -0.10399562 -0.04111683 0.00299765 0.11364917 Lattice
259 1 -0.10701578 -0.04586323 0.01234187 0.11733134 Lattice
260 1 -0.10788100 -0.04578480 0.00930249 0.11832926 Lattice
261 1 -0.10128444 -0.04519170 0.02551114 0.11970122 Lattice
262 1 -0.10681128 -0.04788139 0.01955501 0.11951706 Lattice
263 1 -0.09498521 -0.03960468 0.02229198 0.10951811 Lattice
264 1 -0.10155807 -0.05074236 0.01503724 0.11466398 Lattice
265 1 -0.09393570 -0.03803930 0.00755748 0.10441882 Lattice
266 1 0.02864046 -0.12484830 0.01804648 0.20177810 Unknown
267 1 -0.09717811 -0.06609525 0.02634890 0.12252553 Lattice
268 1 -0.09282779 -0.03448276 -0.01257683 0.10747188 Lattice
269 1 0.56012696 -0.15664311 -0.02240408 0.62770124 Unknown
270 1 -0.10746303 -0.04963633 0.01566879 0.11959063 Lattice
271 1 0.24372499 -0.15726233 0.03116571 0.46705170 Unknown
272 1 -0.09708960 -0.06942904 0.02624204 0.13529876 Lattice
273 1 -0.10507752 -0.05063548 0.01939212 0.11872720 Lattice
274 1 -0.10447682 -0.04189082 0.01806275 0.11515847 Lattice
275 1 0.38425946 -0.29519784 0.11340427 0.66460486 Unknown
276 1 -0.06538395 -0.02232335 -0.02823076 0.08498548 Lattice
277 1 -0.08389535 -0.03081872 -0.01510802 0.09610920 Lattice
278 1 -0.10654291 -0.04565591 0.01045575 0.11717306 Lattice
279 1 -0.10300102 -0.03765849 0.01263312 0.11050159 Lattice
280 1 -0.10738168 -0.05943802 0.02411722 0.12579892 Lattice
281 1 -0.06290500 -0.04919628 -0.00316580 0.08310252 Lattice
282 1 0.36437472 -0.23374315 0.06790564 0.52019219 Unknown
283 1 0.06677733 -0.07118170 0.00939914 0.20023991 Unknown
284 1 -0.10358666 -0.05988223 0.01438018 0.12178448 Lattice
285 1 -0.09471910 -0.03598769 0.00203117 0.10225130 Lattice
286 1 0.37657712 -0.21412833 0.12022710 0.62524240 Unknown
287 1 -0.10450166 -0.03979539 0.00810049 0.11247676 Lattice
288 1 -0.10508011 -0.04193496 0.01238617 0.11421833 Lattice
289 1 -0.09075023 -0.03058965 0.00537921 0.09667877 Lattice
290 1 -0.10449686 -0.04298237 0.01803735 0.11598289 Lattice
291 1 -0.09741124 -0.04374995 0.02574066 0.11671196 Lattice
292 1 -0.10310802 -0.04839280 0.01234405 0.11464449 Lattice
293 1 -0.10338649 -0.04494471 0.02525575 0.12158462 Lattice
294 1 -0.10807479 -0.05445061 0.01783297 0.12244278 Lattice
295 1 -0.10021197 -0.03234148 -0.00139104 0.10724282 Lattice
296 1 0.17879429 -0.21540453 0.02226114 0.37113267 Unknown
297 1 0.22531410 -0.23382734 0.25226820 1.18712610 Unknown
298 1 -0.10545219 -0.04802601 0.01853042 0.11752685 Lattice
299 1 -0.10638438 -0.04976530 0.02372989 0.12196497 Lattice
300 1 -0.10547208 -0.04238108 0.00832805 0.11448962 Lattice
301 1 -0.05611792 0.00490299 0.01177465 0.08936621 Lattice
302 1 -0.08851044 -0.04911562 0.02355828 0.10734166 Lattice
303 1 -0.10251937 -0.05000632 0.01294339 0.11749520 Lattice
304 1 -0.10308316 -0.04423144 0.00828477 0.11315199 Lattice
305 1 -0.10535293 -0.04492707 0.01079085 0.11523154 Lattice
306 1 -0.11051316 -0.07436466 0.04248780 0.14436631 Lattice
307 1 0.27843439 -0.00569422 0.03523117 0.48334579 Unknown
308 1 -0.05256329 0.00021391 -0.04964274 0.10042908 Lattice
309 1 -0.10154318 -0.05192575 0.02008041 0.11774484 Lattice
310 1 -0.10223031 -0.04597430 0.03168550 0.12251992 Lattice
311 1 -0.10727446 -0.07601007 0.06744996 0.18264870 Unknown
312 1 -0.10933715 -0.05631348 0.02271836 0.12543093 Lattice
313 1 -0.10416517 -0.05832217 0.03545642 0.13266250 Lattice
314 1 -0.10853785 -0.05192903 0.01587005 0.12154561 Lattice
315 1 -0.08464446 -0.02355264 0.01532772 0.09149129 Lattice
316 1 -0.09915097 -0.05361291 0.02084071 0.11755580 Lattice
317 1 -0.09143175 -0.02422896 -0.00150626 0.09637210 Lattice
318 1 -0.10124197 -0.07236508 0.03079949 0.13068068 Lattice
319 1 0.35531087 -0.33453737 0.12469409 0.78063989 Unknown
320 1 -0.10688243 -0.05000665 0.01671334 0.11934001 Lattice
321 1 -0.10021213 -0.03872976 0.00163313 0.10903011 Lattice
322 1 -0.10224059 -0.04591313 0.01890383 0.11406443 Lattice
323 1 0.51529876 -0.29440450 0.13418440 0.81456182 Unknown
324 1 -0.03657989 -0.10712065 0.04106408 0.14430167 Lattice
325 1 -0.09917026 -0.07177326 0.02804395 0.12782338 Lattice
326 1 -0.09356368 -0.03819454 0.01424334 0.10290879 Lattice
327 1 -0.10621813 -0.04382891 0.00983216 0.11563758 Lattice
328 1 0.28430267 -0.18520052 0.11593012 0.54047629 Unknown
329 1 0.31578494 -0.24861863 0.27054386 0.83354831 Unknown
