# id type pc1 pc2 dist_to_ref defect_type
433 1 -0.00105263 -0.00189883 0.00559253 Lattice
434 1 0.00879535 0.01291354 0.01808886 Lattice
435 1 -0.01370446 -0.02332511 0.02792527 Lattice
436 1 -0.02045981 -0.03288935 0.03951000 Lattice
437 1 -0.00226343 -0.00500216 0.00907247 Lattice
438 1 -0.00129050 -0.00313143 0.00497164 Lattice
439 1 -0.01914175 -0.03117673 0.03733280 Lattice
440 1 -0.00687850 -0.01200306 0.01483416 Lattice
441 1 0.00886721 0.01184689 0.01625715 Lattice
442 1 -0.00070460 -0.00260130 0.00428858 Lattice
443 1 0.02397189 0.03406530 0.04272659 Lattice
444 1 -0.01497311 -0.02403835 0.02941196 Lattice
445 1 0.00090622 -0.00072797 0.00788737 Lattice
446 1 0.01351516 0.01950209 0.02492623 Lattice
447 1 0.01192649 0.01650657 0.02171060 Lattice
448 1 0.01003299 0.01447152 0.01856289 Lattice
449 1 0.01179372 0.01581965 0.02171057 Lattice
450 1 -0.00194688 -0.00378562 0.00462422 Lattice
451 1 -0.01314723 -0.02117787 0.02575237 Lattice
452 1 0.00431668 0.00562546 0.00775542 Lattice
453 1 -0.00399900 -0.00714281 0.00887448 Lattice
454 1 0.02939586 0.04443231 0.05438428 Lattice
455 1 0.00891404 0.01119648 0.01677289 Lattice
456 1 0.00340749 0.00430848 0.00752070 Lattice
457 1 0.00210299 0.00170088 0.00744394 Lattice
458 1 0.00522839 0.00696729 0.00937426 Lattice
459 1 0.00370247 0.00366758 0.00642161 Lattice
460 1 -0.00151017 -0.00386749 0.00831118 Lattice
461 1 0.01424586 0.01963089 0.02611579 Lattice
462 1 -0.00397171 -0.00634638 0.00841668 Lattice
463 1 0.01152580 0.01606129 0.02066184 Lattice
464 1 -0.00066632 -0.00314266 0.00636521 Lattice
465 1 -0.00737663 -0.01199536 0.01473377 Lattice
466 1 -0.00414805 -0.00709779 0.00988576 Lattice
467 1 0.00978748 0.01287448 0.01963301 Lattice
468 1 0.00645844 0.00833552 0.01110759 Lattice
469 1 0.00796211 0.01087983 0.01422909 Lattice
470 1 0.00302942 0.00198943 0.00903232 Lattice
471 1 -0.00074575 -0.00160718 0.00494836 Lattice
472 1 0.00101572 -0.00001207 0.00516111 Lattice
473 1 0.00367067 0.00381565 0.00835286 Lattice
474 1 0.00228055 0.00046377 0.00928481 Lattice
475 1 0.01078898 0.01528700 0.01961540 Lattice
476 1 -0.00054935 -0.00212524 0.00628372 Lattice
477 1 0.00638579 0.00836882 0.01119417 Lattice
478 1 0.01123511 0.01659755 0.02210003 Lattice
479 1 0.01006885 0.01358853 0.01974572 Lattice
480 1 0.00659166 0.00679968 0.01304712 Lattice
481 1 0.00436125 0.00465323 0.00807053 Lattice
482 1 -0.00141031 -0.00363757 0.00752480 Lattice
483 1 -0.00984977 -0.01640588 0.02027325 Lattice
484 1 0.00441935 0.00282159 0.01123243 Lattice
485 1 0.00178743 -0.00114704 0.01333130 Lattice
486 1 -0.01101523 -0.01879075 0.02271992 Lattice
487 1 -0.00215231 -0.00619651 0.00945080 Lattice
488 1 -0.00712844 -0.01310122 0.01611461 Lattice
489 1 0.01332997 0.01804075 0.02430645 Lattice
490 1 0.02030779 0.02866746 0.03656218 Lattice
491 1 -0.00642097 -0.01194065 0.01476784 Lattice
492 1 0.02360468 0.03584672 0.04448917 Lattice
493 1 0.01292277 0.01872410 0.02432678 Lattice
494 1 0.00965740 0.01309535 0.01712701 Lattice
495 1 0.00617909 0.00726493 0.01009048 Lattice
496 1 0.01505202 0.01955817 0.02765293 Lattice
497 1 -0.00731622 -0.01207611 0.01482931 Lattice
