# x y z d_near_max n_grid_pts
54.68087098 -7.74060138 30.71170823 2.20921753 6
-10.23705804 -30.21331507 -37.20361403 2.20896006 2
-6.74147724 -13.23393139 21.22353821 2.20883902 7
-35.20549228 -10.73696321 -11.23599081 2.20846418 5
-5.24337119 11.73575048 56.17995407 2.20830055 7
-6.24210856 59.17814604 35.70548192 2.20767913 4
-12.23453278 -9.73817593 55.68057670 2.20716240 5
-13.73263883 19.22665504 -62.67185988 2.20706089 6
15.23074489 -3.74545228 -69.66314305 2.20691165 4
11.73516409 47.69209238 -19.22602873 2.20667580 3
-37.20296702 10.73696321 22.72167031 2.20553353 4
-9.23832067 29.71392143 56.67933144 2.20494128 6
-7.24084593 29.71392143 54.68182196 2.20484490 6
19.22569436 -32.21088962 55.18119933 2.20323679 6
11.73516409 49.68966693 54.18244459 2.20279630 2
10.23705804 -64.67147606 63.67061462 2.20159079 3
3.74526514 -2.74666501 -66.66687883 2.20118942 11
4.74400251 23.22180414 21.22353821 2.19963864 3
-26.21685595 -22.72241051 39.20112351 2.19919320 5
-30.71117411 11.23635684 1.24844342 2.19795281 9
6.24210856 -15.73089958 51.68555775 2.19772432 6
-2.24715908 5.24363319 -5.24346238 2.19740066 9
-18.72632568 11.73575048 -17.72789662 2.19719941 7
-14.23200752 -2.24727137 -25.21855716 2.19653772 7
27.21559332 1.74787773 -21.72291557 2.19567660 5
24.21938121 -1.74787773 -69.66314305 2.19419374 2
0.74905303 1.74787773 -3.24595290 2.18955978 2
7.74021461 8.73938866 6.74159449 2.18863688 4
11.73516409 52.68602876 28.71419875 2.18858449 4
9.73768935 -60.17693332 -19.72540610 2.18831432 5
8.23958330 50.68845421 33.70797244 2.18759874 6
35.20549228 0.24969682 -58.67684092 2.18702397 4
-29.71243674 -19.72604868 -49.68804827 2.18586364 8
60.67329520 15.23150594 -35.70548192 2.18586002 6
5.74273988 10.23756957 58.17746355 2.18442500 7
7.74021461 -3.24605864 -16.22976451 2.18178085 4
33.20801754 -17.72847413 27.21606664 2.17881899 7
45.69223466 -11.23635684 60.67435040 2.17685093 6
-24.71874990 26.21816597 16.22976451 2.17494350 4
18.72632568 -21.22422959 62.67185988 2.17491956 7
-8.73895198 -50.18906057 33.70797244 2.17389426 3
-4.74400251 17.22908049 61.67310514 2.17320566 5
-4.74400251 15.23150594 63.67061462 2.17319087 4
-1.74779040 -5.24363319 -66.66687883 2.17085994 7
-10.23705804 -28.21574052 -39.20112351 2.17024847 4
-16.22948226 4.24484592 19.22602873 2.16990409 6
-66.66571942 -4.24484592 -23.72042505 2.16705594 1
-16.72885094 4.24484592 22.72167031 2.16704222 8
-10.73642672 -32.21088962 20.72416084 2.16692899 3
-0.74905303 46.69330511 42.19738773 2.16688189 1
-32.20928017 -0.24969682 -68.16501094 2.16668590 5
41.69728518 7.24120774 -48.18991616 2.16436367 3
-64.16887600 -4.74423956 -11.23599081 2.16186885 6
8.23958330 -66.66905061 64.16999199 2.16025468 4
57.17771441 -9.73817593 -33.70797244 2.15985284 3
5.24337119 -26.71755961 -3.74533027 2.15957034 3
-62.17140126 -2.74666501 -21.72291557 2.15783221 5
-15.23074489 -15.23150594 -21.72291557 2.15401904 4
-0.74905303 -57.67996513 -32.70921770 2.15257923 2
-1.74779040 4.74423956 44.69427457 2.15059179 8
16.72885094 -10.23756957 43.19614246 2.14614251 8
-32.20928017 0.24969682 31.71046297 2.14306816 6
