# x y z d_near_max n_grid_pts
24.46906555 -7.49090456 -70.91158647 2.01605783 2
-3.49558079 -18.47756459 36.95392535 2.01371665 2
2.49684342 75.40843926 3.99501896 2.01280540 1
-10.48674238 20.47513914 63.92030330 2.01094869 1
5.49305553 8.48969184 55.93026539 2.01092695 1
-4.49431816 -7.49090456 9.98754739 2.01013321 1
15.48042923 -27.46665006 -28.96388743 2.00918490 1
-7.49053027 -60.42663014 67.91532226 2.00388441 1
-6.49179290 17.47877731 31.96015165 2.00377227 1
9.48800501 0.49939364 -50.93649169 2.00363120 1
5.49305553 24.47028824 0.99875474 2.00096833 1
-8.48926764 47.44239556 -61.92279382 2.00022194 1
