# id type x y z dist_to_ref defect_prob defect_type
338 1 1.78452000 26.54610000 42.37620000 0.03656187 1.00000000 Lattice
339 1 1.80702000 24.87230000 1.75367000 0.02707013 1.00000000 Lattice
340 1 -0.03658180 26.57050000 1.75526000 0.02191195 1.00000000 Lattice
341 1 3.53994000 24.74740000 0.03827080 0.00422980 1.00000000 Lattice
342 1 5.30386000 26.48790000 -0.01116750 0.01726927 1.00000000 Lattice
343 1 5.38179000 24.79450000 1.78299000 0.03641221 1.00000000 Lattice
344 1 3.60314000 26.61290000 1.73515000 0.00820950 1.00000000 Lattice
345 1 7.13272000 24.79430000 0.08261190 0.00799778 1.00000000 Lattice
346 1 8.84908000 26.60070000 0.02141600 0.04245491 1.00000000 Lattice
347 1 8.73356000 24.64920000 1.84214000 0.01124876 1.00000000 Lattice
348 1 6.98303000 26.56730000 1.85654000 0.02416688 1.00000000 Lattice
349 1 10.41410000 24.72630000 0.10608600 0.03026806 1.00000000 Lattice
350 1 12.48000000 26.49320000 42.39700000 0.00988320 1.00000000 Lattice
351 1 12.33740000 24.80450000 1.65262000 0.01056406 1.00000000 Lattice
352 1 10.64370000 26.49530000 1.78891000 0.01501144 1.00000000 Lattice
353 1 14.16770000 24.82750000 42.39900000 0.02678927 1.00000000 Lattice
354 1 15.91770000 26.55580000 42.32500000 0.02471362 1.00000000 Lattice
355 1 15.95390000 24.72350000 1.76772000 0.00579599 1.00000000 Lattice
356 1 14.15520000 26.56930000 1.72288000 0.00327106 1.00000000 Lattice
